customer_account_no,customer_name,created_on,created_by,updated_on,updated_by,fax_no,sponsor_name,po_box_no,email_address,telephone_no,state,street_no,zone,country,building_no,customer_category_id,unit_no,customer_group_code_id,customer_account_type,status_id,mobile_no,outlet_classification,latitude,outlet_type,department_id,outlet_category,parent_outlet,longtitude,cr_no,contact_person,sponsor_contact_no,area_name,area_name_id,cr_license,guarantee,customer_form,sponsor_id
07-325-9,MAJID AL FUTTAIM HYPERMARKETS,,,,,,,,,NULL,DOHA,,53,QATAR,,,,,2,1,,,,,3,,,,,,,Muaither,,,,,
07-1773,SPAR RETAIL W.L.L,,,,,4467 7443,,490,,4456 2141,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,B-SQUARE MALL,,,,,26263400704
07-17731,SPAR RETAIL WLL,,,,,4467 7443,,490,,4456 2141,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,TAWAR MALL,,,,,26263400704
07-1774,HORIZON FOOD TRADING,,,,,4456 7532,,6104,,6606 6584,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Azizia,,,,,25281801560
07-1775,UNCLE ALI MARKETS,,,,,4432 1212,,10,,4444 4757,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,"NEW DOHA 15,220,AL SULTAN TOWER",,,,,27663400054
07-1782,UNIVERSAL FOODS WLL,,,,,,,80601,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Muntazah,,,,,27163400887
07-31443,AL MEERA CONSUMER GOODS CO,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,DOHA INSTITUTE,,,,,
07-36461,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Gharafa,,,,,
07-36462,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-36463,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,56,QATAR,,,,,2,1,,,,,3,,,,,,,Abu Hamour,,,,,
07-1783,THE MILL BAKERY & TRADING WLL,,,,,4443 9260,,16280,,4436 6742,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,NEW SINAYA,,,,,25863400069
07-36464,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,AL EGLA LUSAIL,,,,,
07-213-9,LULU HYPERMARKET-WAREHOUSE,,,,,,,,,NULL,DOHA,,57,QATAR,,,,,2,1,,,,,3,,,,,,,Industrial Area,,,,,
07-36465,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,RAWADAT AL HAMAMA EAST,,,,,
07-36466,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,HAZIM AL MARKHIYA,,,,,
07-36467,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Azizia,,,,,
07-213-6,LULU EXPRESS TRADING CO. W.L.L,,,,,44252889,,9763,,44252888,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,"BIN DIRHAM PLAZA, B RING ROAD",,,,,
07-1784,VILLAGE MARKET TRADING,,,,,4443 9260,,14538,,4436 6742,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,"24,BUILDING NO:18, AL RAWABI STREET",,,,,25863400069
07-36468,WOQOD (QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,AL RAWABI STREET,,,,,
07-1785,PANDA HYPER MARKET,,,,,,,24740,,4444 1099,DOHA,,3,QATAR,,,,,2,1,,,,,3,,,,,,,Mushayrib,,,,,27063400984
07-1786,PICK & SAVE SUPER MARKET,,,,,4016 5580,,8029,,4016 5578,DOHA,,93,QATAR,,,,,2,1,,,,,3,,,,,,,Mesaieed Industrial Area,,,,,27663400332
07-17162,REGENCY SHOPPING COMPLEX-AL WAKRA,,,,,,,10407,,4038 6899,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,27663401165
07-213-7,LULU HYPERMARKET TRADING,,,,,,,,,NULL,DOHA,,91,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wukair,,,,,
07-31444,AL MEERA CONSUMER GOODS( WARE HOUSE),,,,,,,,,NULL,DOHA,,37,QATAR,,,,,2,1,,,,,3,,,,,,,Fereej Bin Omran,,,,,
07-36469,WOQOD(QATAR FUEL),,,,,,,7777,,NULL,DOHA,,63,QATAR,,,,,2,1,,,,,3,,,,,,,Onaiza,,,,,
07-213-8,LULU HYPERMARKET-NEW HILAL,,,,,,,,,NULL,DOHA,,42,QATAR,,,,,2,1,,,,,3,,,,,,,Al Hilal,,,,,
07-126,AL MUTTAWAKKAL GROCERY,,,,,,,50145,,4771824,DOHA,,92,QATAR,,,,,2,1,4771824,,,,3,,,,,,,Mesaieed,,,,,
07-130,ALI BIN HAIDER STORE,,,,,,,2172,,4325191,DOHA,,14,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-131,M.P.TRADERS,,,,,4313004,,2104,,4313005,DOHA,,27,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Ghuwailina,,,,,
07-133,AL BIDA SUPER MARKET(ALI SHOP),,,,,4423095,,806,,4423095,DOHA,,2,QATAR,,,,,2,1,4423095,,,,3,,,,,,,Al Bidda,,,,,23863400570
07-135,ABDULLAH SULAITI SUPERMARKET,,,,,4839730,,20588,,4839640,DOHA,,61,QATAR,,,,,2,1,,,,,3,,,,,,,Al Dafna,,,,,
07-139,AL AMRI TRADING,,,,,,,11411,,4439484,DOHA,,26,QATAR,,,,,2,1,4439484,,,,3,,,,,,,Najma,,,,,
07-140A,AL ARAIS SUPER MARKET,,,,,,,15925,,4421022,DOHA,,25,QATAR,,,,,2,1,4421022,,,,3,,,,,,,Al Mansoura,,,,,
07-150,AL ATEEQ COLD STORE,,,,,,,,,NULL,DOHA,,7,QATAR,,,,,1,1,,,,,3,,,,,,,Al Souq,,,,,
07-158,CORNER SUPERMARKET,,,,,,,9493,,4851725,DOHA,,45,QATAR,,,,,2,1,4851725,,,,3,,,,,,,Old Airport,,,,,
07-171,DUBAI GROCERY,,,,,,,9483,,4425489,DOHA,,6,QATAR,,,,,1,1,4425489,,,,3,,,,,,,Old Al Ghanim,,,,,
07-172,DOHA FOOD CENTRE,,,,,4413123,,123,,4435123,DOHA,,7,QATAR,,,,,1,1,4435123,,,,3,,,,,,,Al Souq,,,,,
07-173,DOHA MODERN GROCERY & BAKERY,,,,,,,3901,,4422887,DOHA,,22,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Bin Mahmoud,,,,,
07-174A,DOHA STAR,,,,,,,,,NULL,DOHA,,3,QATAR,,,,,2,1,,,,,3,,,,,,,Mushayrib,,,,,
07-174B,DUBAI SUPERMARKET,,,,,4420570,,11330,,4420570,DOHA,,,QATAR,,,,,2,1,4420570,,,,3,,,,,,,NEAR JAIDAH,,,,,252634400744
07-178,AL EBRAHIM STORE (RIVOLI SUPER MARKET),,,,,,,6043,,4411398,DOHA,,26,QATAR,,,,,2,1,4411398,,,,3,,,,,,,Najma,,,,,
07-180,ESCADA BOUTIQUE,,,,,4424412,,,,4427733,DOHA,,38,QATAR,,,,,1,1,427733,,,,3,,,,,,,Al Sadd,,,,,
07-187,FAMILY FOOD CENTRE,,,,,4448598,,5483,,4422456,DOHA,,39,QATAR,,,,,2,1,4422456,,,,3,,,,,,,Fereej Al Nasr,,,,,
07-188,FAMILY SUPERMARKET,,,,,,,4020,,4423641/4440611,DOHA,,3,QATAR,,,,,1,1,4440611,,,,3,,,,,,,Mushayrib,,,,,
07-189,FALCON SUPERMARKET,,,,,4447206,,37080,,4441216,DOHA,,38,QATAR,,,,,2,1,,,,,3,,,,,,,Al Sadd,,,,,
07-194A,AL IKHTIAR SUPERMARKET (FINE FOOD),,,,,4414512,,2104,,4687134,DOHA,,56,QATAR,,,,,2,1,413238,,,,3,,,,,,,Abu Hamour,,,,,
07-202,GULOM RIDA KHURMY,,,,,,,,,4421012,DOHA,,7,QATAR,,,,,1,1,421012,,,,3,,,,,,,Al Souq,,,,,
07-428,AL TAIF COLD STORES,,,,,,,8929,,4861298,DOHA,,79,QATAR,,,,,2,1,4861298,,,,3,,,,,,,Al Gharrafa,,,,,
07-434A,AL TAYIF SUPERMARKET,,,,,4413135,,31253,,4413135,DOHA,,39,QATAR,,,,,2,1,4413135,,,,3,,,,,,,Fereej Al Nasr,,,,,
07-445,AL KHOR FOOD STUFFS,,,,,4448868,,60397,,4722422,DOHA,,74,QATAR,,,,,1,1,4722422,,,,3,,,,,,,Al Khor,,,,,
07-450,VENECIA GROCERY,,,,,,,35,,4426353,DOHA,,22,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Bin Mahmoud,,,,,
07-461,WELCOME SM,,,,,,,4231,,4428853,DOHA,,,QATAR,,,,,1,1,4428853,,,,3,,,,,,,POWER HOUSE ROAD,,,,,
07-472,AL YAZIDI TRADING,,,,,,,375,,4433868,DOHA,,25,QATAR,,,,,1,1,4433868,,,,3,,,,,,,Al Mansoura,,,,,
07-496,CITY SHOPPING CENTRE,,,,,,,,,4416140,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,ABDULLAH BIN THANI,,,,,
07-501,AHMED KARIM,,,,,,,2982,,NULL,DOHA,,7,QATAR,,,,,2,1,413912,,,,3,,,,,,,Al Souq,,,,,
07-518,ABDUL MANNAN,,,,,,,2641,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-543,ABU FAISAL,,,,,,,9727,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-546,ABDULLAH SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-554,MOHAMED QAMRUDHEEN/CABIN,,,,,,,,,NULL,DOHA,,7,QATAR,,,,,1,1,,,,,3,,,,,,,Al Souq,,,,,
07-562,AL MUHANNADI SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-564,ABBAS MUSAWI,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-568,SULTAN ALI ABDULLA,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-570,AL MALKI SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-583,BU MATHAR SUPERMARKET,,,,,,,,,NULL,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-588,EASTERN FOODSTUFFS,,,,,,,2096,,4622610,DOHA,,42,QATAR,,,,,2,1,4622610,,,,3,,,,,,,Al Hilal,,,,,
07-595,AL WUSAYL MODERN SUPERMARKET,,,,,4789915,,75006,,4789638,DOHA,,71,QATAR,,,,,2,1,4789638,,,,3,,,,,,,Umm Salal Ali,,,,,
07-596,JAWAHAR,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-598,AL JOHARA COLD STORE,,,,,,,5054,,4862643,DOHA,,37,QATAR,,,,,2,1,4862643,,,,3,,,,,,,Fereej Bin Omran,,,,,
07-602,AL SHAHARI SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-614,OSAMA AL EDRSY,,,,,,,4500,,4873814,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-617,MOHAMMED AL-MANI,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,C/O. TRAFFIC DEPARTMENT,,,,,
07-776,AL MALIK GROCERY,,,,,,,5761,,NULL,DOHA,,25,QATAR,,,,,2,1,,,,,3,,,,,,,Al Mansoura,,,,,
07-838,SATCO SUPERMARKET,,,,,,,,,NULL,DOHA,,5,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Al Asmakh,,,,,
07-845,AL ALAM SUPER MARKET,,,,,,,5750,,4865410,DOHA,,32,QATAR,,,,,2,1,4865410,,,,3,,,,,,,Madinat Khalifa North,,,,,25463400504
07-944,AL MALKI SUPERMARKET,,,,,,,,,NULL,DOHA,,45,QATAR,,,,,2,1,,,,,3,,,,,,,Old Airport,,,,,
07-945,AL SAIGH SUPERMARKET,,,,,,,8189,,4448066,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,EMIRI ROAD,,,,,
07-301,AL GAIZA SUPERMARKET,,,,,,,5668,,4448863,DOHA,,61,QATAR,,,,,1,1,4448863,,,,3,,,,,,,Al Dafna,,,,,
07-401,GALAXY FOOD CENTRE WLL,,,,,4352877,,2878,,4446819/4352878,DOHA,,26,QATAR,,,,,2,1,4446819,,,,3,,,,,,,Najma,,,,,
07-948,AHMED AL RUMAIHI,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-370,AL WASMI FOOD STUFF,,,,,,,13313,,4682323,DOHA,,55,QATAR,,,,,2,1,4682323,,,,3,,,,,,,Al Aziziya,,,,,26563401601
07-378,AL HUNAIDI TRADING CENTRE,,,,,,,40716,,4606223,DOHA,,57,QATAR,,,,,2,1,4606223,,,,3,,,,,,,Industrial Area,,,,,26663400359
07-371,JABAL ARAFA SUPERMARKET,,,,,,,80187,,4640560,DOHA,,90,QATAR,,,,,2,1,4643481,,,,3,,,,,,,Al Wakrah,,,,,25463400591
07-317,AL MUSTY TRADING CO,,,,,,,40691,,4687084,DOHA,,55,QATAR,,,,,2,1,4687084,,,,3,,,,,,,Al Aziziya,,,,,
07-316,FUJAIRA FOOD CENTRE,,,,,,,91139,,4811484,DOHA,,53,QATAR,,,,,2,1,4811484,,,,3,,,,,,,New Al Rayyan,,,,,
07-320,AL ALAM COLD STORE (SHAHANIYA),,,,,,,10271,,4719628,DOHA,,80,QATAR,,,,,1,1,4719628,,,,3,,,,,,,Al Shahaniya,,,,,22863400007
07-321,FAMILY CHICKEN CENTRE,,,,,4687166,,5483,,4687946,DOHA,,,QATAR,,,,,2,1,4422456,,,,3,,,,,,,SALWA ROAD,,,,,
07-748,AMAL SUPER MARKET,,,,,4601467,,90783,,4601567,DOHA,,57,QATAR,,,,,2,1,4601567,,,,3,,,,,,,Industrial Area,,,,,25263400478
07-805,SALWA SUPERMARKET,,,,,,,16014,,4687573,DOHA,,,QATAR,,,,,2,1,4687573,,,,3,,,,,,,SALWA ROAD,,,,,24463400179
07-809,ABU NASR SUPERMARKET,,,,,4419516,,12174,,4412188,DOHA,,3,QATAR,,,,,2,1,,,,,3,,,,,,,Mushayrib,,,,,
07-810,MISHAL FOOD STUFF,,,,,,,7753,,4329048,DOHA,,22,QATAR,,,,,2,1,4329048,,,,3,,,,,,,Fereej Bin Mahmoud,,,,,26063400102
07-812,AL KHABI FOOD STUFF,,,,,,,5810,,4366360,DOHA,,38,QATAR,,,,,2,1,4366360,,,,3,,,,,,,Al Sadd,,,,,25463400156
07-1537,AL MALKI SUPERMARKET,,,,,,,30240,,4436323,DOHA,,74,QATAR,,,,,2,1,4436323,,,,3,,,,,,,Al Khor,,,,,
07-1539,BASHARA SUPERMARKET,,,,,,,,,NULL,DOHA,,26,QATAR,,,,,1,1,,,,,3,,,,,,,Najma,,,,,
07-1542,ABU AHMED,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-1543,GULF INDIA SUPERMARKET,,,,,,,,,4720318,DOHA,,74,QATAR,,,,,2,1,4720318,,,,3,,,,,,,Al Khor,,,,,
07-1544,AL MALKI TRADING,,,,,,,,,NULL,DOHA,,38,QATAR,,,,,2,1,,,,,3,,,,,,,Al Sadd,,,,,
07-1545,MOON LIGHT,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-1546,KHADEER,,,,,,,,,NULL,DOHA,,71,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Salal Ali,,,,,
07-1547,AL SAAD COMPLEX,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-1548,NAM CO SHAMAL ROAD,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-1550,MUSAL MANI SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-1553,NASEEB SUPERMARKET (THOMAS GROCERY),,,,,,,,,NULL,DOHA,,57,QATAR,,,,,1,1,,,,,3,,,,,,,Industrial Area,,,,,
07-1555,ABDUL AZZIZ MOHD,,,,,,,,,NULL,DOHA,,7,QATAR,,,,,1,1,,,,,3,,,,,,,Al Souq,,,,,
07-1556,SALMAN STORES (TURKEY GROCERY),,,,,,,,,NULL,DOHA,,6,QATAR,,,,,1,1,,,,,3,,,,,,,Old Al Ghanim,,,,,
07-1557,RUMAIHI SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,SALWA ROAD,,,,,
07-1559,FAISAL SUPERMARKET,,,,,,,11068,,NULL,DOHA,,55,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Al Murra,,,,,
07-1560,SABRINA SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,SALWA ROAD,,,,,
07-1561,ABDEL MOHD COLD STORES,,,,,,,,,NULL,DOHA,,55,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Al Murra,,,,,
07-1562,ALI BIN ALI BU MATAR,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,SALWA ROAD,,,,,
07-1563,AL KHAL GROCERY,,,,,,,,,NULL,DOHA,,53,QATAR,,,,,2,1,,,,,3,,,,,,,New Al Rayyan,,,,,
07-1564,GHAZAL AL SHAM GROCERY,,,,,,,,,NULL,DOHA,,53,QATAR,,,,,2,1,,,,,3,,,,,,,New Al Rayyan,,,,,
07-1566,AL SULAITY SUPERMARKET (RAYYAN),,,,,,,,,NULL,DOHA,,53,QATAR,,,,,2,1,,,,,3,,,,,,,New Al Rayyan,,,,,
07-1567,JAWAZI TRADING,,,,,,,,,NULL,DOHA,,80,QATAR,,,,,1,1,,,,,3,,,,,,,Al Shahaniya,,,,,
07-1568,SHAHANIYA SUPERMARKET,,,,,,,,,NULL,DOHA,,80,QATAR,,,,,2,1,,,,,3,,,,,,,Al Shahaniya,,,,,
07-1569,EZBAH SUPERMARKET,,,,,,,,,NULL,DOHA,,80,QATAR,,,,,2,1,,,,,3,,,,,,,Al Shahaniya,,,,,
07-1570,WARDI SUPERMARKET,,,,,,,,,NULL,DOHA,,80,QATAR,,,,,2,1,,,,,3,,,,,,,Al Shahaniya,,,,,
07-1572,BIN JABAR AL KHOORY,,,,,,,457,,4357591,DOHA,,3,QATAR,,,,,1,1,4357591,,,,3,,,,,,,Mushayrib,,,,,
07-1576,BEACH CENTRE,,,,,,,,,NULL,DOHA,,3,QATAR,,,,,2,1,,,,,3,,,,,,,Mushayrib,,,,,
07-1580,MOHAMED SALMAN GROCERY,,,,,,,16081,,4351282,DOHA,,3,QATAR,,,,,2,1,4351282,,,,3,,,,,,,Mushayrib,,,,,27226341050
07-1583,ALI ABDULLA GROCERY,,,,,,,2563,,4427553,DOHA,,5,QATAR,,,,,1,1,4427553,,,,3,,,,,,,Fereej Al Asmakh,,,,,25363400531
07-1585,SALAN NOVELTY,,,,,,,,,NULL,DOHA,,5,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Al Asmakh,,,,,
07-1587,ISMA TRADING,,,,,,,,,NULL,DOHA,,5,QATAR,,,,,2,1,,,,,3,,,,,,,Fereej Al Asmakh,,,,,
07-1589,BANGLADESH SUPERMARKET,,,,,,,,,NULL,DOHA,,5,QATAR,,,,,2,1,,,,,3,,,,,,,Fereej Al Asmakh,,,,,
07-1595,AL ALI SUPERMARKET,,,,,,,,,NULL,DOHA,,14,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-1596,KHALID AL KASI,,,,,,,,,NULL,DOHA,,14,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-1597,MADINA MUNAWARRA,,,,,,,,,NULL,DOHA,,14,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-1598,AL SAADA GROCERY,,,,,,,,,4358461,DOHA,,14,QATAR,,,,,1,1,4358461,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-1599,HELAL FOOD STUFFS,,,,,,,,,NULL,DOHA,,14,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-1600,AL QAMAR FOODSTUFF,,,,,,,,,NULL,DOHA,,14,QATAR,,,,,2,1,,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-1602,AL FAH,,,,,,,,,NULL,DOHA,,14,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-1603,ALFA,,,,,,,,,NULL,DOHA,,3,QATAR,,,,,1,1,,,,,3,,,,,,,Mushayrib,,,,,
07-1604,AL MAJID SUPERMARKET,,,,,,,,,NULL,DOHA,,45,QATAR,,,,,1,1,,,,,3,,,,,,,Old Airport,,,,,
07-1607,AL ZAHAR SUPERMARKET,,,,,,,,,NULL,DOHA,,45,QATAR,,,,,2,1,,,,,3,,,,,,,Old Airport,,,,,
07-1610,MADRID SUPERMARKET,,,,,,,,,NULL,DOHA,,45,QATAR,,,,,2,1,,,,,3,,,,,,,Old Airport,,,,,
07-1612,DANA GULF,,,,,,,,,NULL,DOHA,,5,QATAR,,,,,2,1,,,,,3,,,,,,,Al Najada,,,,,
07-1614,AL MALKI GROCERY(ZAMZAM SM),,,,,,,,,NULL,DOHA,,5,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Al Asmakh,,,,,
07-1615,AL KHEEZ  SUPERMARKET,,,,,,,,,NULL,DOHA,,5,QATAR,,,,,1,1,,,,,3,,,,,,,Fereej Al Asmakh,,,,,
07-1617,NASCO SUPERMARKET,,,,,,,,,NULL,DOHA,,14,QATAR,,,,,2,1,,,,,3,,,,,,,Fereej Abdel Aziz,,,,,
07-1618,ABU MATER SUPERMARKET,,,,,,,,,NULL,DOHA,,90,QATAR,,,,,1,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-1619,AL SOOR SUPERMARKET,,,,,,,,,NULL,DOHA,,90,QATAR,,,,,1,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-1620,AL FATHE SUPERMARKET,,,,,,,80621,,4643076,DOHA,,90,QATAR,,,,,2,1,4643076,,,,3,,,,,,,Al Wakrah,,,,,26463400463
07-1624,KHALED COLD STORES (QASREEN SM),,,,,,,,,NULL,DOHA,,92,QATAR,,,,,1,1,,,,,3,,,,,,,Mesaieed,,,,,
07-1625,AL YAHRI  SUPERMARKET,,,,,,,,,NULL,DOHA,,92,QATAR,,,,,2,1,,,,,3,,,,,,,Mesaieed,,,,,
07-1628,ZEENA SUPERMARKET,,,,,,,,,NULL,DOHA,,27,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Ghuwailina,,,,,
07-1633,NAZAR SUPER MARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-1640,HASSAWI SUPER MARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-1645,PLUTO SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,,,,,,
07-1647,MANILA SUPERMARKET,,,,,4430402,,30150,,4430402,DOHA,,7,QATAR,,,,,2,1,4430402,,,,3,,,,,,,Al Souq,,,,,28023400268
07-1649,QATAR FAMILY SUPERMARKET,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-1651,BANGLADESH TRADING COMPLEX,,,,,,,,,NULL,DOHA,,57,QATAR,,,,,1,1,,,,,3,,,,,,,Industrial Area,,,,,
07-1652,GOUSSIA SUPERMARKET,,,,,,,,,NULL,DOHA,,57,QATAR,,,,,1,1,,,,,3,,,,,,,Industrial Area,,,,,
07-1653,AL KHARTOUM GROCERY,,,,,44600725,,40694,,44500001,DOHA,,57,QATAR,,,,,2,1,44500001,,,,3,,,,,,,Industrial Area,,,,,
07-951,AL MOUTATERA,,,,,,,,,4430963,DOHA,,7,QATAR,,,,,1,1,,,,,3,,,,,,,Al Souq,,,,,
07-954,MOHD AL ATHIYA,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-955,SAFETY WAY FOOD CENTRE,,,,,4440590,,11320,,NULL,DOHA,,,QATAR,,,,,1,1,4440590,,,,3,,,,,,,,,,,,
07-956,ACCORD GROCERY,,,,,4600371,,10965,,4602149,DOHA,,57,QATAR,,,,,2,1,4602149,,,,3,,,,,,,Industrial Area,,,,,
07-960,IRANIAN SWEETS & NUTS,,,,,4315933,,6192,,4361743,DOHA,,26,QATAR,,,,,2,1,4361743,,,,3,,,,,,,Najma,,,,,25463400132
07-961,AL SHAREIF SUPERMARKET,,,,,,,,,4310369,DOHA,,,QATAR,,,,,1,1,4310369,,,,3,,,,,,,,,,,,
07-964,AL HADRAM SUPER MARKET,,,,,,,13154,,44720327,DOHA,,74,QATAR,,,,,2,1,55985089,,,,3,,,,,,,Al Khor,,,,,
07-965,ABD. BIN AHMED TRADING,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-2896,GREEN CITY RESTAURANT,,,,,,,,,NULL,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,,,,,,
07-2053,AL ARAFA FOOD CENTRE,,,,,4413135,,31253,,4352054,DOHA,,39,QATAR,,,,,2,1,,,,,3,,,,,,,Fereej Al Nasr,,,,,
07-15005,SHABAB AL JAZEERA JUICE STALL,,,,,,,,,4641658,DOHA,,90,QATAR,,,,,1,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-2654,SAMEERA C/S,,,,,,,80098,,4644053,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-2295,BU MATHAR FOOD STUFF,,,,,,,,,NULL,DOHA,,26,QATAR,,,,,2,1,,,,,3,,,,,,,Najma,,,,,
07-15010,AL KHOR SHOPPING COMPLEX,,,,,,,,,NULL,DOHA,,74,QATAR,,,,,2,1,,,,,3,,,,,,,Al Khor,,,,,
07-428B,NEW AL TAIF COLD STORES,,,,,,,31253,,4885335,DOHA,,37,QATAR,,,,,2,1,,,,,3,,,,,,,Fereej Bin Omran,,,,,
07-186,GOLDEN CENTRE,,,,,4415363,,30912,,4415636,DOHA,,7,QATAR,,,,,2,1,4415636,,,,3,,,,,,,Al Souq,,,,,27223401025
07-15014,AL AJRAK GROCERY,,,,,,,17364,,4688289,DOHA,,55,QATAR,,,,,2,1,,,,,3,,,,,,,Al Aziziya,,,,,
07-15015,DAY & NIGHT SUPER MARKET,,,,,,,90448,,4681373,DOHA,,,QATAR,,,,,1,1,,,,,3,,,,,,,SALWA ROAD,,,,,
07-15019,AL WAKRA BEACH COLD STORE,,,,,,,80052,,4641026,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
